Global,https://open.spotify.com/playlist/37i9dQZEVXbLiRSasKsNU9
Poland,https://open.spotify.com/playlist/37i9dQZEVXbNGGDnE9UFTF
Ukraine,https://open.spotify.com/playlist/37i9dQZEVXbLwLH0YjrtGb
Kazakhstan,https://open.spotify.com/playlist/37i9dQZEVXbMS8ULOsBprs
Brazil,https://open.spotify.com/playlist/37i9dQZEVXbMOkSwG072hV
Turkey,https://open.spotify.com/playlist/37i9dQZEVXbMIJZxwqzod6
USA,https://open.spotify.com/playlist/37i9dQZEVXbKuaTI1Z1Afx
Peru,https://open.spotify.com/playlist/37i9dQZEVXbN7gfhgaomhA
Chile,https://open.spotify.com/playlist/37i9dQZEVXbJs8e2vk15a8
France,https://open.spotify.com/playlist/37i9dQZEVXbJmRv5TqJW16
Hungary,https://open.spotify.com/playlist/37i9dQZEVXbLuey1EKVv9I
United Kingdom,https://open.spotify.com/playlist/37i9dQZEVXbL3DLHfQeDmV
